Comment,Sentiment
"Merci à Oral-B d’avoir sponsorisé la vidéo. Vous avez  -20% pour tout achat supérieur à 50€ sur l’ensemble du site avec le code SQUEEZIE20, <a href=""https://bit.ly/3X12BNC"">https://bit.ly/3X12BNC</a> . Collaboration commerciale.",Neutral
Il avait quoi Squeezie dans l&#39;oreille vers la 35eme min,Neutral
Le feat il aurait dû s’appeler &quot;les 4 PDG de YouTube&quot; 😂,Neutral
"Great tips, thanks for sharing!",Positive
"You explained this so well, thank you!",Neutral
"Merci , merci et merci de nous faire kiffé ❤️❤️❤️❤️",Neutral
masterclass,Neutral
miaou,Neutral
possible de faire une version sans gotaga ?,Neutral
"Loved the content, keep it coming!",Positive
Yoyo ! J&#39;adore ce concept et cette vidéo est géniale dans son style &lt;3 Par contre j&#39;avoue que la collab entre coupée avec la vidéo c&#39;est très dur à suivre je trouve :x perso ça m&#39;a fait très bizarre,Positive
"Great job, this video was very useful!",Positive
Le meilleur concept revient,Neutral
Plus de pubs la prochaine fois ?,Neutral
"Fantastic video, really appreciate your effort!",Positive
"<a href=""https://www.youtube.com/watch?v=U0TMAvoPPL8&amp;t=766"">12:46</a>  on dirait la musique de la yirelire peppa pig dans squid game",Negative
MDRRR SUR DU PNL🤣🤣,Neutral
Attends mais pour la première le green flag c&#39;est être bosseur mais elle veut pas de quelqu&#39;un qui bosse 90h par semaine :/,Negative
"adèle exarchopoulos, laura felpin et joco pitié !!!!!!!!!!!!!!!!",Neutral
😂😂😂😂,Neutral
